Title,Author,CallNo,AccNo,
Textbook of engineering chemistry,"Murthy, C. Parameswara",660 MUR,248263,
Textbook of engineering chemistry,"Dara, S.S.",660 DAR,317452,
Textbook of engineering mathematics,"Grewal, B. S",510 GRE,285501,
Textbook of engineering mechanics,"Khurmi, R.S.",620.1 KHU,316321,
Textbook of environmental engineering,"Venugopala Rao, P",628 RAO,202626,
Textbook of environmental microbiology,"Mohapatra, Pradipta K",577.5 MOH,258366,
Textbook of environmental sciences,"Trivedi, R. N",577.5 TRI,189533,
Textbook of environmental studies: for undergraduate courses,"Bharucha, Erach.",333.7 BHA,264246,
Textbook of fluid mechanics and hydraulic machines,"Bansal, R.K.",621.2 BAN,317703,
Textbook of fluid mechanics: in SI units,"Rajput, R.K.",621.2 RAJ,303058,
Textbook of functional analysis: a problem - oriented approach,"Krishnan, V. K",515.7 KRI,232499,
Textbook of geotechnical engineering,"Khan, Iqbal H.",624.151 KHA,182486,
Textbook of heat,"Gupta, V. K",536 GUP,X287,
Textbook of histology: colour atlas,"Garg, Krishna",611 GAR,286606,
Textbook of Inorganic chemistry,"Upadhyay, K. N.",546 UPA,206974,
Textbook of integral calculus and differential equations,Khalil Ahmad,515.33 KHA,230870,
Textbook of integral calculus and differential equations,Khalil Ahmad,515.43 KHA,285125,
Textbook of international business,"Mathur, U.C.",382 MAT,258013,
Textbook of machine design: S.I. units,"Khurmi, R. S.",621.815 KHU,317762,
Textbook of machine drawing,"John, K.C.",604.2 JOH,275454,
Textbook of marketing,"Blois, Keith  ed.",658.8 TEX,277331,
Textbook of marketing management,"Mathur, U.C.",658.8 MAT,258006,
Textbook of medical biochemistry,"Ramakrishnan, S.",612.015 RAM,242303,
Textbook of medical physiology,"Guyton, Arthur C",612 GUY,175707,
Textbook of medical physiology,"Hall, John E.",612.0202 HAL,285274,
Textbook of optics,"Subrahmanyam , N.",535 SUB,303046,
Textbook of organic chemistry,"Soni, P. L",547 SON,100786,
Textbook of organic chemistry,"Kalsi, P. S",547 KAL,183228,
Textbook of organic chemistry,"Tewari, K. S",547 TEW,207054,
Textbook of organic chemistry,"Bahl, Arun",547 BAH,303052,
Textbook of organic medicinal and pharmaceutical chemistry,"Delgado, Jaime N",615.19 TEX,205662,
Textbook of orthopaedics,"Kotwal , Prakash P.",616.7 KOT,300508,
Textbook of orthopedics,"Ebnezar , John",616.7 EBN,300533,
Textbook of parametric and non-parametric statistics,"Veeraraghavan,Vimala",519.54 VEE,320356,
Textbook of physical chemistry,"Sharma, K. K",541 SHA,196432,
Textbook of physical chemistry,"Kapoor, K.L.",541.3 KAP,278136,
Textbook of physiology,"Ahuja, V.M",612 AHU,285829,
Textbook of polymer science,"Billmeyer, Fred W.",547.84 BIL,314128,
Textbook of practical organic chemistry: including qualitative organic analysis,"Vogel, Arthur I",547.0028 VOG,43057,
Textbook of quantum mechanics,"Mathews, P. M.",530.12 MAT,294642,
Textbook of radiology for residents and technicians,"Bhargava, Satish K.",616.07572 BHA,286487,
Textbook of rehabilitation,"Sunder,S",617.03 SUN,285805,
Textbook of social psychology,"DeLamater, John D.",302 DEL,276954,
Textbook of vector algebra: with application to geometry and statics,Shanti Narayan,512.5 SHA,67593,
Textbook of workshop technology: manufacturing processes,"Khurmi, R.S.",670 KHU,285475,
Textbook on automata theory,"Srimani, P.K.",004.015113 SRI,320172,
Textbook on environmental studies,"Kanagasabai, S.",363.7 KAN,263563,
Textbook on fortran/2003,"Ray, Subrata",005.362 RAY,258642,
Textbook on integral calculus and elementary differential equations,Gorakh Prasad,515.43 GOR,193267,
Textbook on organic chemistry,"Mukherjee, K. S.",547 MUK,269880,
Textbook on practical chemistry,"Mukherjee, K.S.",540 MUK,269885,
Text-book on statics,"Varma, R. S",531.2 VAR,C6693,
The administrative history of India 1934-1947: general administration,"Misra, B. B",351.54 MIS,52988,
The agrarian system of Mughal India: 1556-1707,Irfan Habib,954.025 IRF,192240,
The art and science of geography: integrated readings,"Dikshit, R. D, ed.",910 ART,284791,
The background of English literature: classical & romantic,"Grierson, Herbert",820.9 GRI,23512,
The basics of data management for information services,"Underwood, Peter G",025.04 UND,157214,
The basics of library-based user services,"Whittaker, Kenneth",025.5 WHI,161498,
The bell,"Murdoch, Iris",823.914 MUR,151116,
The Blackwell dictionary of social policy,"Alcock, Pete ed.",361.6103 BLA,241910,
The Bolshevik revolution: 1917-1923,"Carr, Edward Hallett",947.084 CAR,C6234,
The British constitution,"Jennings, Ivor",342.42 JEN,C11431,
The C programming language,"Kernighan, Brian W.",005.133 KER,238615,
The caliphs and their non-Muslim subjects: a critical study of the covenant of Umar,"Tritton, A. S",297.09 TRI,46426,
The Cambridge economic history of India,Dharma Kumar ed.,330.954 CAM,97339,
The Cambridge history of Iran,"Boyle, J. A",955 CAM,C10704,
The Cambridge history of Islam,"Holt, P. H, ed.",909.0917671 CAM,46324,
The cantos,"Pound, Ezra",811.52 POU,178359,
The care of books and documents,Library Association Research,025.1 THE,60294,
The CDS/ISIS for windows handbook,"Buxton, Andrew",025.30285 BUX,216117,
The cell: a molecular approach,"Cooper ,Geoffrey M.",571.6 COO,303093,
The Changing context of information: an introductory analysis,"McGarry, Kevin",025.04 MCG,X920,
The chemistry of natural products,"Thomson, R. H., ed.",547.7 CHE,258599,
The cocktail party: a comedy,"Eliot, T. S",822.912 ELI,111618,
The code of criminal procedure: act II of 1974: as amended by the code... amendments,"Ranchhoddas, Ratanlal",345.5405 RAN,120881,
The collected poems of William Wordsworth,"Wordsworth, William",821.609 WOR,257532,
The coming crisis of Western sociology,"Gouldner, Alvin W",301.094 GOU,62305,
The complete idiot's guide to microsoft office 95,"Kinkoph, Sherry",005.43769 KIN,174149,
The constitution of India,"Bakshi, P.M.",342.54024 BAK,267469,
The constitution of India: its philosophy and basic postulates,"Gajendragadkar, P. B",342.54 GAJ,45730,
The crime problem,"Reckless, Walter C",364.1 REC,49053,
The crisis in Keynesian economics,"Hicks, John",330.156 HIC,33661,
The critical sense,"Reeves, James",821.09 REV,22612,
The cultural background of personality,"Linton, Ralph",306 LIN,57647,
The design and analysis of computer  algorithms,"Aho, Alfred V.",005.1 AHO,238495,
The design of the unix operating system,"Bach, Maurice J",005.42 BAC,238610,
The earth science,"Strahler, Arthur N",910.02 STR,55060,
The ecology of cyanobacteria: their diversity in time and space,"Potts, Malcolm",579.39 ECO,202137,
The econometrics of financial markets,"Campbell, John Y.",658.4033 CAM,287405,
The economics of education,"Vaizey, John",370 VAI,23791,
The economics of John Maynard Keynes: theory of a monetary economy,"Dillard, Dudley",332.401 DIL,50903,
The elements of coordinate geometry,"Loney, S. L",516.16 LON,249916,
The elements of statics and dynamics,"Loney, S. L.",531.2 LON,180777,
The embryology of angiosperms,"Bhojwani, S. S",571.86 BHO,199642,
The emergence of Indian nationalism: competition and collaboration in the later nineteenth century,"Seal, Anil",954.035 SEA,64826,
The English essay and essayists,"Walker, Hugh",824.09 WAL,49091,
The essence of business economics,"Nellis, Joseph G",338.542 NEL,176839,
The essence of effective communication,"Ludlow, Ron",658.45 LUD,168798,
The essence of international business,"Taggart, James H.",658.848 TAG,229686,
The essence of international marketing,"Paliwoda, Stanley J.",658.848 PAL,229690,
The essence of international money,"Buckley, Adrian",332.153 BUC,229734,
The essence of management accounting,"Chadwick, Leslie",658.1511 CHA,164751,
The essence of managing people,"Williams, Hank",658.3 WIL,207707,
The essence of marketing,"Majaro, Simon",658.8 MAJ,167979,
The essence of operations management,"Hill, Terry",658.4034 HIL,167977,
The essence of personnel management industrial relarions,"Cowling, Alan",658.3 COW,207710,
The essence of small business,"Barrow, Colin",658.022 BAR,176831,
The essence of statistics for business,"Fleming, Michael C",658.0021 FLE,176515,
The essential guide to wireless communications applications: from cellular systems to WAP and M-Commerce,"Dornan, Andy",621.382 DOR,203539,
The evolution of economic thought,"Oser, Jacob",330.15 OSE,67208,
The face of the earth,"Dury, G. H",910.02 DUR,67620,
The faerie queene,"Spenser, Edmund",821.3 SPE,114481,
The faith movement in Mawlana Muhammad Ilyas,"Anwarul Haq, M",297.40954092 ANW,49125,
The Feynman lectures on physics,"Feynman, Richard P.",530 FEY,284077,
The financial manager: basic aspects of financial administration,"Cohen, Jerome B",658.15 COH,106555,
The foundations of social work knowledge,"Reamer, Frederick G",361.3 REA,190556,
The founders of Indus Valley civilization and their later history: A national award winner 1986 research work,Naval Viyogi,909.091764 NAV,189196,
The French revolution and Napolion,"Gershoy, Leo",944.04 GER,22958,
The fundamentals and practice of marketing,"Wilmshurst, John",658.8 WIL,194137,
The fundamentals of advertising,"Wilmshurst, John",659.1 WIL,194133,
The geography of economic activity,"Thomas, Richard S",910.133 THO,69881,
The glass menagerie,"Williams, Tennessee",812.54 WIL,183151,
"The handbook of political sociology: states, civil societies, and globalization","Janoski, Thomas, ed.",306.2 HAN,254863,
The historians of medieval India,"Mohibbul Hasan, ed.",907.2054 HIS,X603,
The hospital in modern society,"Freidson, Eliot",362.11 HOS,63312,
The human brain: essentials of behavioral neuroscience,"Beatty, Jackson",612.82 BEA,195037,
The human side of organizations,"Drafke, Michael",658.4 DRA,207680,
The ideology of islamic urbanization,"Benet, F",954.025 BEN,61437,
The income of nations,"Studenski, Paul",339.3 STU,179892,
The Indian constitution and international law,"Chandrashekhara Rao, P.",342.5402 CHA,152823,
The Indian economy: problems of prospects,"Jalan, Bimal",330.954,207581,
The Indian family in the change and challenge of the seventies: selected papers of a seminar,"Indian Social Institute, Family Life Centre (New Delhi)",305.850954 IND,55923,
"The Indian financial system: the system that cares financial markets, institutions and services","Desai, Vasant",332.0954 DES,176077,
"The Indian financial system: the system that cares financial markets, institutions and services","Desai, Vasant",332.0954 DES,177676,
The Indian Muslims,"Mujeeb, M",305.6971054 MUJ,R6453,
"The industrial evolution of India in recent times, 1860-1939","Gadgil, D. R",338.954 GAD,69634,
The industrial law,"Malik, P. L",331.210954 MAL,65922,
The information society: issues and illusions,"Lyon, David",303.483 LYO,94743,
The intelligent person's guide to liberalization,"Bhaduri, Amit",338.954 BHA,180507,
The international economy,"Ellsworth, Paul T",337 ELL,66753,
The internet book: everything you need to know about computer networking and how the internet works,"Comer, Douglas E.",004.678 COM,229818,
The internet: every thing you need ... how the internet works,"Comer, Douglas E",004.678 COM,203488,
The Islamic law and constitution,"Maududi, Abul Ala",340.59 MAU,Z11,
The Jama'at-i-Islami of Pakistan: political thought and political action,Kalim Bahadur,324.220954092A KAL,128459,
The last romantics,"Hough, Graham",808 HOU,44124,
The law of contracts,"Nair, M. Krishnan",346.02 NAI,120538,
The library in society,"Rogers, A. Robert",021 ROG,111169,
The making of literature: some principles of criticism examined in the light of ancient and modern theory,"Scott-James, R. A",801.95 SCO,23272,
The market in a socialist economy,"Brus, Wlodzimierz",335.4 BRU,49898,
The mayor of casterbridge: a critical study,"Hardy, Thomas",823.809 HAR,G215232,
The Middle East in world politics,"Banerji, J. K",320.956 BAN,C10238,
"The Middle East: a physical, social and regional geography","Fisher, W. B",915.6 FIS,55743,
The Middle East: a spatial perspective,Barkatullah Khan,956 BAR,258429,
The modern history of Japan,"Beasley, W. G",952.03 BEA,101109,
The Muslims of British India,"Hardy, P",954.03 HAR,58085,
The national library of India: a critical study,"Kaula, P. N",027.554 KAU,46486,
The nation-state and global order: a historical introduction to contemporary politics,"Opello, Jr. Walter C",320.12 OPE,237396,
The nature of the city,"Weber, Max",307.76 WEB,X344,
The neoclassical theory of production and distribution,"Ferguson, C. E",332.501 FER,37120,
"The net -works guide to WAP and WML: an introduction to the mobile internet, and to creating your own WAP site","Smith, Pete",004.678 SMI,234102,
The network press dictionary of networking,"Dyson, Peter",004.6503 DYS,174776,
The new avenues in bioinformatics,"Seckbach, Joseph, ed.",572.80285 NEW,254296,
The new physics,"Davies, Paul, ed.",530 NEW,158474,
The normative structure of sociology: conservative and emancipatory themes in social thought,"Strasser, Hermann",301 STR,57583,
The open society and its enemies,"Popper, K. R.",320.9 POP,66929,
The organic chemistry of drug synthesis,"Lednicer, Daniel",615.191 LED,267639,
The origin of the concept of nuclear forces,"Brown, Laurie M",539.754 BRO,174457,
The origins of modern Europe: 1660-1789,"White, James L",940.25 WHI,22832,
The Oxford illustrated dictionaries,"Coulson, J",423 OXF,107991,
The peasant and the raj: studies in agrarian society and peasant rebellion in colonial India,"Stokes, Eric",333.335095403 STO,97827,
The Penguin English-Hindi/Hindi-English thesaurus and dictionary,"Arvind Kumar, comp.",423.91431 PEN,270839,
The Penguin India career guide,"Albuquerque, Usha",370.113 ALB,207300,
The philosophy of psychology,"O'Donohue, William",150.1 PHI,175166,
The phoneme: its nature and use,"Jones, Daniel",421.5 JON,100100,
The poet Wordsworth,"Darbishire, Helen",821.709 DAR,49137,
The political economy of growth,"Baran, Paul A",338.9 BAR,46700,
The political economy of regionalism,"Mansfield, Edward D., ed.",337 POL,264333,
The political theoryof possessive individualism: Hobbes to Locke,"Macpherson, C. B",320.5 MAC,61432,
The portrait of a lady,"James, Henry",813.5 JAM,178307,
The position of racial groups in the mughal nobility: 1605-1613,Afzal Husain,954.025 POS,X685,
The preservation challenge: a guide to conserving library materials,"Morrow, Carolyn Clark",025.84 MOR,107417,
The principles of auto body repairing and repainting,"Deroche, A. G",629.26 DER,182423,
The principles of criticism,"Worsfold, W. Basil",820.9 WOR,C273,
The psychodynamics of abnormal behavior,"Brown, J. F",616.89 BRO,R7420,
The pure theory of international trade,"Kemp, Murray C.",382.104 KEM,69435,
The quality assurance manual,"Chona ,W S.",658.4013021 CHO,235968,
"The religion of Islam: a comprehensive discussion of the sources, principles and practices of Islam","Ali, Mohammad",297 ALI,10603,
The return of the native,,823.8 HAR,20904,
"The rise of the industrial economy: a comparative economic hisory of Britain, Japan and Russia during the industrial revolution","Dhar, Mainak",338 DHA,180832,
The romantic imagination,"Bowra, C. M",809.914 BOW,22230,
